"ID";"REG1";"Event";"DIM";"Date";"Remark";"R";"T";"B";"Technician";"ET Donor Dam";"ET Donor Reg";
      1246 ;276001406356370 ;BESAMT     ; 231 ;01/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1255 ;276001406468057 ;BESAMT     ; 191 ;04/10/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      1255 ;276001406468057 ;BESAMT     ; 213 ;26/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1256 ;276001406130255 ;BESAMT     ; 236 ;11/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
      1256 ;276001406130255 ;BESAMT     ; 255 ;30/10/24;NIGHTBLU        ;O ; 2 ;C ;S�ren      7         ;;;
      1256 ;276001406130255 ;BESAMT     ; 278 ;22/11/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
      1256 ;276001406130255 ;BESAMT     ; 283 ;27/11/24;NIGHTBLU.B      ;- ; 4 ;C ;Annett     300       ;;;
      1259 ;276001405594620 ;BESAMT     ; 350 ;29/10/24;NIGHTBLU.B      ;C ; 2 ;C ;S�ren      7         ;;;
      1261 ;276001406130249 ;BESAMT     ;  98 ;23/10/24;LIENONME        ;P ; 3 ;C ;Sjoerd     278       ;;;
      1277 ;276001406122406 ;BESAMT     ; 259 ;17/10/24;NIGHTBLU.B      ;P ; 2 ;G ;S�ren      7         ;;;
      1299 ;276001270693164 ;BESAMT     ; 172 ;13/10/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
      1302 ;276001406468094 ;BESAMT     ; 116 ;03/10/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      1302 ;276001406468094 ;BESAMT     ; 124 ;11/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      1302 ;276001406468094 ;BESAMT     ; 145 ;01/11/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      1302 ;276001406468094 ;BESAMT     ; 187 ;13/12/24;NIGHTBLU.B      ;O ; 3 ;O ;Sjoerd     278       ;;;
      1306 ;276001272845831 ;BESAMT     ;  59 ;12/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      1327 ;276001404747280 ;BESAMT     ; 372 ;13/10/24;NIGHTBLU.B      ;O ; 2 ;G ;S�ren      7         ;;;
      1338 ;276001406356459 ;BESAMT     ; 163 ;09/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1343 ;276001406531791 ;BESAMT     ;  79 ;18/10/24;LIENONME        ;R ; 4 ;O ;Annett     300       ;;;
      1343 ;276001406531791 ;BESAMT     ;  81 ;20/10/24;BRONTIDE        ;O ; 2 ;C ;S�ren      7         ;;;
      1343 ;276001406531791 ;BESAMT     ;  88 ;27/10/24;SLAVIA          ;P ; 4 ;C ;Annett     300       ;;;
      1343 ;276001406531791 ;BESAMT     ; 108 ;16/11/24;SLAVIA          ;C ; 4 ;C ;Annett     300       ;;;
      1346 ;276001406531733 ;BESAMT     ;  64 ;24/10/24;LIENONME        ;P ; 1 ;C ;Anne       224       ;;;
      1347 ;276001406356322 ;BESAMT     ;  99 ;09/10/24;ORMSBEE         ;O ; 2 ;C ;S�ren      7         ;;;
      1347 ;276001406356322 ;BESAMT     ; 127 ;06/11/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
      1347 ;276001406356322 ;BESAMT     ; 147 ;26/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
      1350 ;276001406356365 ;BESAMT     ; 172 ;07/10/24;RIVARIDG        ;O ; 2 ;C ;S�ren      7         ;;;
      1350 ;276001406356365 ;BESAMT     ; 189 ;24/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
      1350 ;276001406356365 ;BESAMT     ; 209 ;13/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
      1357 ;276001406314202 ;BESAMT     ; 265 ;18/10/24;LIENONME        ;P ; 2 ;C ;S�ren      7         ;;;
      1369 ;276001406531523 ;BESAMT     ;  61 ;10/11/24;SLAVIA          ;P ; 3 ;C ;Sjoerd     278       ;;;
      1371 ;276001406531718 ;BESAMT     ;  77 ;26/12/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
      1375 ;276001406280106 ;BESAMT     ; 104 ;18/10/24;LIENONME        ;O ; 5 ;O ;Stefan     278       ;;;
      1375 ;276001406280106 ;BESAMT     ; 148 ;01/12/24;DIVINITY        ;P ; 5 ;C ;Stefan     278       ;;;
      1379 ;276001406356436 ;BESAMT     ;  72 ;14/10/24;LIENONME        ;O ; 5 ;- ;Stefan     278       ;;;
      1379 ;276001406356436 ;BESAMT     ;  91 ;02/11/24;SLAVIA          ;P ; 5 ;C ;Stefan     278       ;;;
      1418 ;276001406188260 ;BESAMT     ; 258 ;18/10/24;RIVARIDG        ;O ; 2 ;C ;S�ren      7         ;;;
      1418 ;276001406188260 ;BESAMT     ; 279 ;08/11/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
      1500 ;276001406280097 ;BESAMT     ; 130 ;04/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1508 ;276001406356499 ;BESAMT     ;  56 ;27/10/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
      1508 ;276001406356499 ;BESAMT     ;  80 ;20/11/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
      1522 ;276001268677497 ;BESAMT     ;  93 ;26/10/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
      1527 ;276001270641127 ;BESAMT     ;  69 ;07/10/24;LIENONME        ;O ; 5 ;C ;Stefan     278       ;;;
      1527 ;276001270641127 ;BESAMT     ;  87 ;25/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      1527 ;276001270641127 ;BESAMT     ; 105 ;12/11/24;LIENONME        ;P ; 3 ;C ;Sjoerd     278       ;;;
      1535 ;276001405758957 ;BESAMT     ; 457 ;02/11/24;NIGHTBLU        ;O ; 2 ;G ;S�ren      7         ;;;
      1535 ;276001405758957 ;BESAMT     ; 480 ;25/11/24;NIGHTBLU.B      ;- ; 4 ;C ;Annett     300       ;;;
      1551 ;276001406095172 ;BESAMT     ;  65 ;22/10/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
      1551 ;276001406095172 ;BESAMT     ;  88 ;14/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1551 ;276001406095172 ;BESAMT     ; 122 ;18/12/24;SLAVIA          ;C ; 2 ;C ;S�ren      7         ;;;
      1552 ;276001406095121 ;BESAMT     ; 112 ;11/10/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      1552 ;276001406095121 ;BESAMT     ; 135 ;03/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1588 ;276001270641080 ;BESAMT     ; 275 ;11/10/24;NIGHTBLU.B      ;R ; 4 ;O ;Annett     300       ;;;
      1588 ;276001270641080 ;BESAMT     ; 277 ;13/10/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
      1605 ;276001406466473 ;BESAMT     ; 305 ;03/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
      1616 ;276001272845856 ;BESAMT     ;  88 ;12/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      1616 ;276001272845856 ;BESAMT     ; 130 ;23/11/24;SLAVIA          ;C ; 4 ;G ;Annett     300       ;;;
      1628 ;276001270693012 ;BESAMT     ; 307 ;03/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1643 ;276001406531779 ;BESAMT     ; 107 ;20/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      1643 ;276001406531779 ;BESAMT     ; 129 ;11/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1728 ;276001406770539 ;BESAMT     ; 101 ;12/10/24;LIENONME        ;O ; 4 ;C ;Annett     300       ;;;
      1728 ;276001406770539 ;BESAMT     ; 126 ;06/11/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
      1728 ;276001406770539 ;BESAMT     ; 152 ;02/12/24;SLAVIA          ;O ; 4 ;C ;Annett     300       ;;;
      1814 ;276001273559260 ;BESAMT     ;  49 ;17/10/24;LIENONME        ;O ; 3 ;C ;Sjoerd     278       ;;;
      1814 ;276001273559260 ;BESAMT     ;  92 ;29/11/24;RIVARIDG        ;P ; 5 ;O ;Stefan     278       ;;;
      1927 ;276001272845880 ;BESAMT     ;  64 ;27/10/24;SLAVIA          ;P ; 4 ;C ;Annett     300       ;;;
      1934 ;276001272845963 ;BESAMT     ;  46 ;11/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      1938 ;276001272845860 ;BESAMT     ;  45 ;11/10/24;LIENONME        ;O ; 4 ;C ;Annett     300       ;;;
      1938 ;276001272845860 ;BESAMT     ;  65 ;31/10/24;BRONTIDE        ;P ; 4 ;C ;Annett     300       ;;;
      1942 ;276001270693207 ;BESAMT     ;  60 ;04/11/24;LIENONME        ;O ; 5 ;C ;Stefan     278       ;;;
      1942 ;276001270693207 ;BESAMT     ;  79 ;23/11/24;RIVARIDG        ;P ; 5 ;C ;Stefan     278       ;;;
      2334 ;276001406703210 ;BESAMT     ;  61 ;13/11/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      3147 ;276001406703147 ;BESAMT     ; 181 ;31/10/24;BRONTIDE        ;O ; 4 ;C ;Annett     300       ;;;
      3147 ;276001406703147 ;BESAMT     ; 240 ;29/12/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
      3149 ;276001406703149 ;BESAMT     ; 183 ;08/11/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      3149 ;276001406703149 ;BESAMT     ; 225 ;20/12/24;NIGHTBLU.B      ;O ; 3 ;O ;Sjoerd     278       ;;;
      3153 ;276001406703153 ;BESAMT     ; 147 ;08/11/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      3153 ;276001406703153 ;BESAMT     ; 189 ;20/12/24;NIGHTBLU.B      ;O ; 3 ;O ;Sjoerd     278       ;;;
      3156 ;276001406703156 ;BESAMT     ; 165 ;15/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3156 ;276001406703156 ;BESAMT     ; 203 ;22/11/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      3158 ;276001406703158 ;BESAMT     ; 133 ;25/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3158 ;276001406703158 ;BESAMT     ; 156 ;17/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3158 ;276001406703158 ;BESAMT     ; 179 ;10/12/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3165 ;276001406703165 ;BESAMT     ;  78 ;15/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      3165 ;276001406703165 ;BESAMT     ; 107 ;13/11/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
      3165 ;276001406703165 ;BESAMT     ; 126 ;02/12/24;FIRELINK        ;- ; 3 ;C ;Sjoerd     278       ;;;
      3167 ;276001406703167 ;BESAMT     ;  71 ;02/11/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      3167 ;276001406703167 ;BESAMT     ;  94 ;25/11/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      3170 ;276001406703170 ;BESAMT     ;  65 ;18/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      3170 ;276001406703170 ;BESAMT     ; 107 ;29/11/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      3170 ;276001406703170 ;BESAMT     ; 131 ;23/12/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      3176 ;276001406703176 ;BESAMT     ;  83 ;15/11/24;NIGHTBLU.B      ;O ; 1 ;O ;Anne       224       ;;;
      3177 ;276001406703177 ;BESAMT     ;  74 ;30/12/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3182 ;276001406703182 ;BESAMT     ;  98 ;11/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      3182 ;276001406703182 ;BESAMT     ; 147 ;29/11/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      3182 ;276001406703182 ;BESAMT     ; 167 ;19/12/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      3184 ;276001406703184 ;BESAMT     ;  80 ;23/11/24;DIVINITY        ;O ; 5 ;C ;Stefan     278       ;;;
      3184 ;276001406703184 ;BESAMT     ;  86 ;29/11/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      3185 ;276001406703185 ;BESAMT     ; 124 ;07/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3185 ;276001406703185 ;BESAMT     ; 146 ;29/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3185 ;276001406703185 ;BESAMT     ; 166 ;18/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3185 ;276001406703185 ;BESAMT     ; 190 ;12/12/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3187 ;276001406703187 ;BESAMT     ;  80 ;06/12/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      3189 ;276001406703189 ;BESAMT     ;  57 ;18/12/24;SLAVIA          ;O ; 4 ;C ;Annett     300       ;;;
      3192 ;276001406703192 ;BESAMT     ;  92 ;11/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      3192 ;276001406703192 ;BESAMT     ; 141 ;29/11/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
      3194 ;276001406703194 ;BESAMT     ;  58 ;23/11/24;DIVINITY        ;O ; 5 ;C ;Stefan     278       ;;;
      3194 ;276001406703194 ;BESAMT     ;  84 ;19/12/24;ZINGLER         ;P ; 3 ;C ;Sjoerd     278       ;;;
      3195 ;276001406703195 ;BESAMT     ; 106 ;22/10/24;LIENONME        ;O ; 5 ;C ;Stefan     278       ;;;
      3195 ;276001406703195 ;BESAMT     ; 144 ;29/11/24;NIGHTBLU.B      ;P ; 5 ;O ;Stefan     278       ;;;
      3196 ;276001406703196 ;BESAMT     ;  80 ;14/11/24;LIENONME        ;O ; 3 ;C ;Sjoerd     278       ;;;
      3198 ;276001406703198 ;BESAMT     ;  49 ;29/11/24;ZINGLER         ;P ; 4 ;C ;Annett     300       ;;;
      3199 ;276001406703199 ;BESAMT     ;  74 ;04/12/24;DIVINITY        ;P ; 3 ;C ;Sjoerd     278       ;;;
      3203 ;276001406703203 ;BESAMT     ;  67 ;28/10/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      3203 ;276001406703203 ;BESAMT     ;  87 ;17/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3203 ;276001406703203 ;BESAMT     ; 108 ;08/12/24;ZINGLER         ;P ; 3 ;C ;Sjoerd     278       ;;;
      3203 ;276001406703203 ;BESAMT     ; 125 ;25/12/24;NIGHTBLU.B      ;C ; 3 ;C ;Sjoerd     278       ;;;
      3208 ;276001406703208 ;BESAMT     ;  85 ;29/11/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      3215 ;276001406703215 ;BESAMT     ;  57 ;23/11/24;SLAVIA          ;O ; 4 ;G ;Annett     300       ;;;
      3215 ;276001406703215 ;BESAMT     ;  77 ;13/12/24;SLAVIA          ;P ; 4 ;C ;Annett     300       ;;;
      3217 ;276001406703217 ;BESAMT     ;  50 ;10/12/24;OPRY            ;O ; 4 ;C ;Annett     300       ;;;
      3218 ;276001406703218 ;BESAMT     ;  75 ;07/12/24;WAGYUVIA        ;O ; 3 ;C ;Sjoerd     278       ;;;
      3218 ;276001406703218 ;BESAMT     ;  96 ;28/12/24;SAMSON          ;P ; 3 ;C ;Sjoerd     278       ;;;
      3222 ;276001406703222 ;BESAMT     ;  61 ;02/10/24;SLAVIA          ;O ; 4 ;G ;Annett     300       ;;;
      3222 ;276001406703222 ;BESAMT     ; 106 ;16/11/24;SLAVIA          ;O ; 4 ;C ;Annett     300       ;;;
      3222 ;276001406703222 ;BESAMT     ; 115 ;25/11/24;ZINGLER         ;P ; 4 ;C ;Annett     300       ;;;
      3229 ;276001406703229 ;BESAMT     ;  68 ;03/10/24;ORMSBEE         ;O ; 3 ;C ;Sjoerd     278       ;;;
      3229 ;276001406703229 ;BESAMT     ;  87 ;22/10/24;LIENONME        ;O ; 5 ;C ;Stefan     278       ;;;
      3229 ;276001406703229 ;BESAMT     ; 109 ;13/11/24;RIVARIDG        ;O ; 4 ;C ;Annett     300       ;;;
      3231 ;276001406703231 ;BESAMT     ;  75 ;11/10/24;LIENONME        ;P ; 4 ;O ;Annett     300       ;;;
      3234 ;276001406703234 ;BESAMT     ;  61 ;11/10/24;LIENONME        ;O ; 4 ;G ;Annett     300       ;;;
      3234 ;276001406703234 ;BESAMT     ;  84 ;03/11/24;NIGHTBLU.B      ;A ; 3 ;C ;Sjoerd     278       ;;;
      3238 ;276001406703238 ;BESAMT     ;  67 ;19/12/24;ZINGZANG        ;P ; 3 ;C ;Sjoerd     278       ;;;
      3239 ;276001406703239 ;BESAMT     ;  69 ;02/11/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      3239 ;276001406703239 ;BESAMT     ;  82 ;15/11/24;NIGHTBLU.B      ;O ; 1 ;C ;Anne       224       ;;;
      3239 ;276001406703239 ;BESAMT     ; 107 ;10/12/24;ZINGLER         ;P ; 5 ;C ;Stefan     278       ;;;
      3242 ;276001406703242 ;BESAMT     ;  67 ;14/12/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
      3242 ;276001406703242 ;BESAMT     ;  82 ;29/12/24;ZINGZANG        ;O ; 3 ;C ;Sjoerd     278       ;;;
      3247 ;276001406703247 ;BESAMT     ;  85 ;06/12/24;ZINGLER         ;O ; 4 ;C ;Annett     300       ;;;
      3248 ;276001406703248 ;BESAMT     ;  72 ;03/11/24;LIENONME        ;O ; 3 ;C ;Sjoerd     278       ;;;
      3248 ;276001406703248 ;BESAMT     ;  94 ;25/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3248 ;276001406703248 ;BESAMT     ; 117 ;18/12/24;ZINGZANG        ;O ; 3 ;C ;Sjoerd     278       ;;;
      3257 ;276001406703257 ;BESAMT     ;  59 ;27/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3257 ;276001406703257 ;BESAMT     ;  88 ;26/12/24;SLAVIA          ;P ; 3 ;C ;Sjoerd     278       ;;;
      3264 ;276001406703264 ;BESAMT     ;  51 ;23/12/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      3269 ;276001406703269 ;BESAMT     ;  84 ;20/12/24;SAMSON          ;O ; 4 ;O ;Annett     300       ;;;
      3269 ;276001406703269 ;BESAMT     ;  93 ;29/12/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
      3286 ;276001406703286 ;BESAMT     ;  51 ;22/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      3303 ;276001406703224 ;BESAMT     ;  52 ;21/12/24;ZINGLER         ;O ; 4 ;C ;Annett     300       ;;;
      3306 ;276001406703306 ;BESAMT     ;  84 ;29/11/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      3320 ;276001406703320 ;BESAMT     ;  63 ;29/12/24;SLAVIA          ;P ; 2 ;C ;S�ren      7         ;;;
      3334 ;276001406703334 ;BESAMT     ;  48 ;12/12/24;SLAVIA          ;P ; 4 ;C ;Annett     300       ;;;
      3348 ;276001406703348 ;BESAMT     ;  68 ;20/12/24;SAMSON          ;P ; 4 ;C ;Annett     300       ;;;
      3590 ;276001406703590 ;BESAMT     ;  79 ;08/11/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      3590 ;276001406703590 ;BESAMT     ; 120 ;19/12/24;ZINGZANG        ;P ; 3 ;C ;Sjoerd     278       ;;;
      4444 ;276001406398444 ;BESAMT     ; 231 ;07/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      4444 ;276001406398444 ;BESAMT     ; 255 ;31/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
      4848 ;276001406192703 ;BESAMT     ; 215 ;01/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      5320 ;276001270693123 ;BESAMT     ;  64 ;13/10/24;RIVARIDG        ;O ; 3 ;C ;Sjoerd     278       ;;;
      5320 ;276001270693123 ;BESAMT     ;  87 ;05/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      5320 ;276001270693123 ;BESAMT     ;  90 ;08/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      5320 ;276001270693123 ;BESAMT     ; 117 ;05/12/24;ZINGLER         ;O ; 4 ;C ;Annett     300       ;;;
      5529 ;276001270693071 ;BESAMT     ; 224 ;23/10/24;SLAVIA          ;O ; 3 ;C ;Sjoerd     278       ;;;
      5529 ;276001270693071 ;BESAMT     ; 247 ;15/11/24;NIGHTBLU.B      ;P ; 1 ;C ;Anne       224       ;;;
      5561 ;276001406703155 ;BESAMT     ; 129 ;03/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      7003 ;276001406531757 ;BESAMT     ; 161 ;13/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      7004 ;276001406703227 ;BESAMT     ;  54 ;25/10/24;SLAVIA          ;A ; 4 ;C ;Annett     300       ;;;
      7164 ;276001404907164 ;BESAMT     ; 242 ;06/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      7164 ;276001404907164 ;BESAMT     ; 265 ;29/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      7370 ;276001404907370 ;BESAMT     ; 310 ;12/10/24;NIGHTBLU.B      ;O ; 2 ;G ;S�ren      7         ;;;
      7370 ;276001404907370 ;BESAMT     ; 329 ;31/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
      7370 ;276001404907370 ;BESAMT     ; 353 ;24/11/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
      7370 ;276001404907370 ;BESAMT     ; 374 ;15/12/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
      7719 ;276001270693147 ;BESAMT     ;  69 ;11/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      7719 ;276001270693147 ;BESAMT     ;  92 ;03/11/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
      7721 ;276001406703237 ;BESAMT     ;  80 ;21/10/24;BRONTIDE        ;P ; 2 ;C ;S�ren      7         ;;;
      8194 ;276001406356252 ;BESAMT     ; 332 ;29/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
      8194 ;276001406356252 ;BESAMT     ; 354 ;20/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
      8944 ;276001406531799 ;BESAMT     ; 116 ;19/10/24;BRONTIDE        ;P ; 2 ;C ;S�ren      7         ;;;
      9829 ;276001405709829 ;BESAMT     ; 153 ;10/10/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      9829 ;276001405709829 ;BESAMT     ; 170 ;27/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      9829 ;276001405709829 ;BESAMT     ; 199 ;25/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      9829 ;276001405709829 ;BESAMT     ; 220 ;16/12/24;NIGHTBLU.B      ;- ; 4 ;C ;Annett     300       ;;;
      9843 ;276001405709843 ;BESAMT     ; 350 ;09/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
      9843 ;276001405709843 ;BESAMT     ; 374 ;02/11/24;NIGHTBLU.B      ;A ; 2 ;G ;S�ren      7         ;;;
      9843 ;276001405709843 ;BESAMT     ; 424 ;22/12/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
      9910 ;276001405709910 ;BESAMT     ;  86 ;13/12/24;NIGHTBLU.B      ;P ; 3 ;O ;Sjoerd     278       ;;;
     12095 ;276001263512095 ;BESAMT     ; 131 ;11/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
     12095 ;276001263512095 ;BESAMT     ; 157 ;06/11/24;SLAVIA          ;- ; 2 ;C ;S�ren      7         ;;;
     13340 ;276001262513340 ;BESAMT     ;  60 ;12/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
     13478 ;276001262513478 ;BESAMT     ; 103 ;13/12/24;SAMSON          ;O ; 3 ;O ;Sjoerd     278       ;;;
     13664 ;276001406013664 ;BESAMT     ; 226 ;10/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
     14037 ;276001273514037 ;BESAMT     ;  59 ;13/12/24;ZINGZANG        ;O ; 3 ;C ;Sjoerd     278       ;;;
     14054 ;276001273514054 ;BESAMT     ;  90 ;19/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
     14054 ;276001273514054 ;BESAMT     ; 116 ;14/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
     14078 ;276001273514078 ;BESAMT     ;  31 ;23/12/24;NIGHTBLU.B      ;P ; 5 ;- ;Stefan     278       ;;;
     14083 ;276001273514083 ;BESAMT     ; 187 ;07/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
     14083 ;276001273514083 ;BESAMT     ; 211 ;31/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
     14083 ;276001273514083 ;BESAMT     ; 234 ;23/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
     14083 ;276001273514083 ;BESAMT     ; 256 ;15/12/24;OPRY            ;O ; 5 ;C ;Stefan     278       ;;;
     14139 ;276001273514139 ;BESAMT     ; 173 ;10/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
     14139 ;276001273514139 ;BESAMT     ; 177 ;14/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
     14139 ;276001273514139 ;BESAMT     ; 216 ;22/11/24;NIGHTBLU.B      ;C ; 4 ;O ;Annett     300       ;;;
     14139 ;276001273514139 ;BESAMT     ; 217 ;23/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
     14145 ;276001406314145 ;BESAMT     ; 258 ;08/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
     14145 ;276001406314145 ;BESAMT     ; 280 ;30/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
     14145 ;276001406314145 ;BESAMT     ; 302 ;21/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
