"ID";"REG1";"Event";"DIM";"Date";"Remark";"R";"T";"B";"Technician";"ET Donor Dam";"ET Donor Reg";
       287 ;276001406703250 ;BESAMT     ;  96 ;27/10/24;LIENONME        ;C ; 5 ;C ;Stefan     278       ;;;
       287 ;276001406703250 ;BESAMT     ;  96 ;27/10/24;LIENONME        ;C ; 5 ;C ;Stefan     278       ;;;
       313 ;276001406130194 ;BESAMT     ; 189 ;05/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       313 ;276001406130194 ;BESAMT     ; 209 ;25/10/24;NIGHTBLU.B      ;P ; 4 ;O ;Annett     300       ;;;
       328 ;276001268677346 ;BESAMT     ;  77 ;18/10/24;LIENONME        ;O ; 4 ;O ;Annett     300       ;;;
       328 ;276001268677346 ;BESAMT     ;  93 ;03/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       331 ;276001406487719 ;BESAMT     ; 104 ;15/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       338 ;276001270693063 ;BESAMT     ; 179 ;19/10/24;BRONTIDE        ;- ; 2 ;C ;S�ren      7         ;;;
       353 ;276001272845935 ;BESAMT     ;  53 ;09/10/24;DIVINITY        ;P ; 4 ;C ;Annett     300       ;;;
       354 ;276001406130015 ;BESAMT     ;  59 ;07/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       354 ;276001406130015 ;BESAMT     ;  64 ;12/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       361 ;276001406531721 ;BESAMT     ; 173 ;02/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       363 ;276001406356371 ;BESAMT     ;  80 ;05/11/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       365 ;276001270693042 ;BESAMT     ; 125 ;05/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       365 ;276001270693042 ;BESAMT     ; 148 ;28/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       371 ;276001406356392 ;BESAMT     ; 117 ;08/10/24;RIVARIDG        ;O ; 2 ;C ;S�ren      7         ;;;
       371 ;276001406356392 ;BESAMT     ; 139 ;30/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
       377 ;276001273514170 ;BESAMT     ; 184 ;23/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       395 ;276001406280201 ;BESAMT     ; 124 ;04/10/24;NIGHTBLU.B      ;P ; 5 ;O ;Stefan     278       ;;;
       395 ;276001406280201 ;BESAMT     ; 162 ;11/11/24;NIGHTBLU.B      ;C ; 3 ;C ;Sjoerd     278       ;;;
       400 ;276001272845898 ;BESAMT     ;  45 ;13/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
       403 ;276001405714087 ;BESAMT     ; 252 ;09/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
       403 ;276001405714087 ;BESAMT     ; 278 ;04/11/24;NIGHTBLU.B      ;P ; 2 ;G ;S�ren      7         ;;;
       413 ;276001405955211 ;BESAMT     ; 146 ;25/10/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
       413 ;276001405955211 ;BESAMT     ; 171 ;19/11/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       415 ;276001406703180 ;BESAMT     ; 169 ;08/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
       418 ;276001406280252 ;BESAMT     ; 247 ;09/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
       418 ;276001406280252 ;BESAMT     ; 291 ;22/11/24;NIGHTBLU.B      ;P ; 4 ;O ;Annett     300       ;;;
       425 ;276001270693244 ;BESAMT     ;  77 ;07/12/24;WAGYUMIX        ;P ; 3 ;C ;Sjoerd     278       ;;;
       430 ;276001406703262 ;BESAMT     ;  70 ;21/10/24;BRONTIDE        ;O ; 2 ;C ;S�ren      7         ;;;
       430 ;276001406703262 ;BESAMT     ;  91 ;11/11/24;BRONTIDE        ;P ; 2 ;C ;S�ren      7         ;;;
       437 ;276001406356328 ;BESAMT     ;  94 ;08/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
